cell_id,centroid_x,centroid_y,dx,dy,bearing_deg,ds_id,area_m2,soil_type,wpf_ymin,wpf_ymax,wpf_k
198,1526669.087000,5172178.971000,55.000300,-334.999500,170.676345,170,100.000000,Organic patch,1.100000,2.200000,0.038000
199,1526679.087000,5172178.971000,65.000300,-334.999500,169.019285,169,100.000000,Organic patch,1.100000,2.200000,0.038000
200,1526689.087000,5172178.971000,75.000300,-334.999500,167.380611,167,100.000000,Organic patch,1.100000,2.200000,0.038000
201,1526699.087000,5172178.971000,85.000300,-334.999500,165.762651,165,100.000000,Organic patch,1.100000,2.200000,0.038000
202,1526709.087000,5172178.971000,95.000300,-334.999500,164.167543,164,100.000000,Organic patch,1.100000,2.200000,0.038000
203,1526719.087000,5172178.971000,105.000300,-334.999500,162.597225,162,100.000000,Organic patch,1.100000,2.200000,0.038000
204,1526729.087000,5172178.971000,115.000300,-334.999500,161.053423,161,100.000000,Organic patch,1.100000,2.200000,0.038000
205,1526739.087000,5172178.971000,125.000300,-334.999500,159.537655,159,100.000000,Organic patch,1.100000,2.200000,0.038000
206,1526749.087000,5172178.971000,135.000300,-334.999500,158.051227,158,100.000000,Organic patch,1.100000,2.200000,0.038000
207,1526759.087000,5172178.971000,145.000300,-334.999500,156.595236,156,100.000000,Organic patch,1.100000,2.200000,0.038000
208,1526769.087000,5172178.971000,155.000300,-334.999500,155.170579,155,100.000000,Organic patch,1.100000,2.200000,0.038000
209,1526779.087000,5172178.971000,165.000300,-334.999500,153.777958,153,100.000000,Organic patch,1.100000,2.200000,0.038000
210,1526789.087000,5172178.971000,175.000300,-334.999500,152.417895,152,100.000000,Organic patch,1.100000,2.200000,0.038000
211,1526799.087000,5172178.971000,185.000300,-334.999500,151.090741,151,100.000000,Organic patch,1.100000,2.200000,0.038000
212,1526809.087000,5172178.971000,195.000300,-334.999500,149.796687,149,100.000000,Organic patch,1.100000,2.200000,0.038000
213,1526819.087000,5172178.971000,205.000300,-334.999500,148.535781,148,100.000000,Organic patch,1.100000,2.200000,0.038000
214,1526829.087000,5172178.971000,215.000300,-334.999500,147.307941,147,100.000000,Organic patch,1.100000,2.200000,0.038000
215,1526389.087000,5172188.971000,-224.999700,-324.999500,214.695159,214,100.000000,Organic patch,1.100000,2.200000,0.038000
216,1526399.087000,5172188.971000,-214.999700,-324.999500,213.486173,213,100.000000,Organic patch,1.100000,2.200000,0.038000
217,1526409.087000,5172188.971000,-204.999700,-324.999500,212.242470,212,100.000000,Organic patch,1.100000,2.200000,0.038000
218,1526419.087000,5172188.971000,-194.999700,-324.999500,210.963757,210,100.000000,Organic patch,1.100000,2.200000,0.038000
219,1526429.087000,5172188.971000,-184.999700,-324.999500,209.649861,209,100.000000,Organic patch,1.100000,2.200000,0.038000
220,1526439.087000,5172188.971000,-174.999700,-324.999500,208.300752,208,100.000000,Organic patch,1.100000,2.200000,0.038000
221,1526449.087000,5172188.971000,-164.999700,-324.999500,206.916548,206,100.000000,Organic patch,1.100000,2.200000,0.038000
222,1526459.087000,5172188.971000,-154.999700,-324.999500,205.497543,205,100.000000,Organic patch,1.100000,2.200000,0.038000
223,1526469.087000,5172188.971000,-144.999700,-324.999500,204.044212,204,100.000000,Organic patch,1.100000,2.200000,0.038000
224,1526479.087000,5172188.971000,-134.999700,-324.999500,202.557233,202,100.000000,Organic patch,1.100000,2.200000,0.038000
225,1526489.087000,5172188.971000,-124.999700,-324.999500,201.037494,201,100.000000,Organic patch,1.100000,2.200000,0.038000
